gene_name,safe,efficacy,window_rank,ot_genetic_supported,ot_genetic_max,ot_genetic_n_diseases,tractable,is_iei,freimer_hit,freimer_min_fdr,freimer_dir,freimer_marker,arce_hit,arce_min_fdr,arce_dir,any_hit
RAD54L,False,0.3105787397469745,1660,False,,,,False,,,,,,,,
SLC2A1,False,0.1666195029557536,1661,False,,,,False,,,,,,,,
CBFA2T2,False,1.0237669456433611,1662,False,,,,False,,,,,,,,
MTMR1,False,0.404088384111292,1663,False,,,,False,,,,,,,,
DDT,False,0.1658858418534734,1664,False,,,,False,,,,,,,,
PDPK1,True,0.2712510593448652,1665,False,0.0,,True,False,,,,,,,,
LGALS3,False,0.165587857982934,1666,False,,,,False,,,,,,,,
SUN1,False,0.6153127053192082,1667,False,,,,False,,,,,,,,
SLC5A3,False,0.2281242611724052,1668,False,,,,False,,,,,,,,
HNRNPAB,False,0.1916655286366337,1669,False,,,,False,,,,,,,,
MAP2K1,False,0.9322028522484904,1670,False,,,,False,False,0.999996,pos_regulator,IL2,False,0.999996,loss_lowers_IL2RA,0.0
MLEC,False,0.1644684880553985,1671,False,,,,False,,,,,,,,
RER1,False,0.4549186605738109,1672,False,,,,False,,,,,,,,
ZNF836,False,0.2214969669928977,1673,False,,,,False,,,,,,,,
RBL2,False,0.1635139612325176,1674,False,,,,False,,,,,,,,
MGA,False,0.1630696846234015,1675,False,,,,False,False,0.736606,neg_regulator,CTLA4,False,0.999996,loss_lowers_IL2RA,0.0
IMPDH2,True,0.162747552879137,1676,False,0.0,,True,False,,,,,,,,
ERCC5,False,0.447903084924414,1677,False,,,,False,,,,,,,,
ZNF710,True,0.8766792867964452,1678,False,0.0,,False,False,,,,,,,,
METTL5,False,0.4564733078369861,1679,False,,,,False,,,,,,,,
BID,False,0.162095053865417,1680,False,,,,False,,,,,,,,
FTL,False,0.4755500064271127,1681,False,,,,False,,,,,,,,
ZNF224,False,0.1618427697936621,1682,False,,,,False,False,0.999996,pos_regulator,IL2RA,False,0.999996,loss_lowers_IL2RA,0.0
SCLY,False,0.63484695428551,1683,False,,,,False,,,,,,,,
