gene_name,efficacy,rest_de_genes,stim_de_genes,freimer_il2_lowers,freimer_il2_lfc
MYNN,-0.1235845942753778,21.0,3,False,-0.03849
CENPB,-0.0461026986335973,1.0,4,False,-0.018122
ZNF783,0.2561757809368062,1.0,1,False,0.054948
ZBTB26,0.186953666476111,4.0,10,False,0.15784
ZNF432,0.0213185146751771,4.0,1,False,-0.08207
HIC1,0.0421111210277518,5.0,6,False,0.28247
BCL6,-0.1126162615537979,16.0,68,False,-0.040353
ZNF680,0.1411043935779407,4.0,2,False,0.023407
ZNF496,-0.1179590464010446,3.0,1,False,-0.058669
ICOS,-0.7825426445625183,739.0,70,False,0.010196
ZNF18,-0.2767732525543589,128.0,3,False,0.057104
SLAMF1,0.3367075797213178,3.0,6,False,-0.10173
SOCS3,0.365953734196545,94.0,35,False,0.053481
IRF1,0.3873885996389425,271.0,58,False,0.28977
ETS2,0.1205557904128459,2.0,2,False,-0.13057
ZNF232,0.158740073579903,7.0,4,False,0.0026811
LCOR,-0.8092119104069847,8.0,15,False,-0.16102
HSF5,-0.2450151648449389,2.0,3,False,-0.12518
ZNF655,-0.0368942451685469,19.0,68,False,-0.13763
CEBPB,-0.4158051034798249,7.0,13,False,-0.18114
ATF3,-0.4534107648439174,1.0,10,False,0.024705
SMARCB1,1.3403355743955825,2130.0,1037,True,3.0322
IRF8,-0.0936482445649379,3.0,7,False,0.073398
TFAP4,-0.036396261404609,113.0,472,False,0.095264
ZBED1,-0.4525260013815662,113.0,17,False,0.17869
ZBTB45,-0.5703423453915989,9.0,26,False,0.039485
BPTF,-0.8981192095434333,437.0,386,False,-0.22558
ZNF780A,-0.6027851769287732,9.0,4,False,0.12026
ATF1,0.0312566186440141,3.0,7,False,0.21673
TGIF1,-0.2608655401341532,8.0,6,False,0.1342
CREB1,-0.2601722889143493,200.0,489,False,-0.26739
SNAI3,-0.0776561198025045,3.0,4,False,-0.056522
CREBL2,-0.0183690277025375,2.0,9,False,0.079741
ZNF549,0.1889944281611489,42.0,3,False,-0.072597
ARNT,0.6049242766455944,2320.0,2947,False,0.11669
CBFB,0.3728676684093058,877.0,1133,False,0.061866
IL4R,-0.4296689789188623,3.0,729,False,0.049304
GATA3,1.7943150146229203,888.0,1253,True,0.87528
NFKB2,-0.6185410636550139,443.0,738,False,-0.20631
